Fold,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_F1,Val_F1,Test_F1,Train_AUCPR,Val_AUCPR,Test_AUCPR,Train_Precision,Val_Precision,Test_Precision,Train_Recall,Val_Recall,Test_Recall,Best_Epoch
1,0.9583694083694083,0.7702020202020202,0.8017676767676768,0.9718670076726342,0.8526315789473684,0.7294117647058823,0.9885428626601824,0.9120914215795713,0.737067047019216,0.9844559585492227,0.8901098901098901,0.7560975609756098,0.9595959595959596,0.8181818181818182,0.7045454545454546,78.0
2,0.9746937459703418,0.7864357864357865,0.755050505050505,0.9860935524652339,0.8762886597938144,0.6538461538461539,0.9882599625214041,0.9518451919759051,0.6764146320623611,0.9873417721518988,0.8947368421052632,0.5666666666666667,0.9848484848484849,0.8585858585858586,0.7727272727272727,73.0
3,0.9335106382978724,0.8066378066378066,0.8156565656565656,0.9477806788511749,0.898989898989899,0.7391304347826086,0.9854358761192971,0.9015718875797462,0.7637385342889824,0.981081081081081,0.898989898989899,0.7083333333333334,0.9166666666666666,0.898989898989899,0.7727272727272727,36.0
4,0.9645927358693316,0.7847041847041847,0.8017676767676767,0.9757343550446999,0.8494623655913979,0.7142857142857143,0.98259353096215,0.9239624625370005,0.7276373378877041,0.9870801033591732,0.9080459770114943,0.6481481481481481,0.9646464646464646,0.797979797979798,0.7954545454545454,52.0
5,0.919809800128949,0.7334776334776334,0.7891414141414141,0.9485861182519281,0.8512820512820513,0.7021276595744681,0.9784768571783028,0.8961087903489156,0.7793239086530201,0.9659685863874345,0.8645833333333334,0.66,0.9318181818181818,0.8383838383838383,0.75,46.0
Average,0.9501952657271806,0.7762914862914864,0.7926767676767676,0.9660123424571342,0.8657309109209061,0.7077603454389655,0.9846618178882673,0.9171159508042278,0.7368362919822568,0.9811855003057621,0.891293188309976,0.6678491418247516,0.9515151515151515,0.8424242424242425,0.759090909090909,
