parent,child
Streptococcus,1317
Streptococcus,1334
Streptococcus,1335
Streptococcus,315405
Streptococcus,1302
Streptococcus,102684
Streptococcus,68892
Streptococcus,28037
Streptococcus,1309
Streptococcus,1303
Streptococcus,1318
Streptococcus,1348
Streptococcus,68891
Streptococcus,1313
Streptococcus,257758
Streptococcus,1314
Streptococcus,1304
Streptococcus,1305
Streptococcus,435842
Streptococcus,563037
Streptococcus,563038
Streptococcus,712620
Streptococcus,712630
Streptococcus,1308
Streptococcus,1343
Subdoligranulum,214851
Succinatimonas,626938
Sutterella,40545
Tannerella,28112
Treponema,167
Tropheryma,2039
Turicibacter,154288
Veillonella,39777
Veillonella,39778
Veillonella,29466
Veillonella,671228
Veillonella,671229
Verminephrobacter,364317
Vibrio,669
Victivallis,172901
Weissella,137591
Weissella,1249
Xanthomonas,339
Intestinibacter,261299
Peptacetobacter,89152
Mediterraneibacter,33038
Blautia,40520
Mediterraneibacter,33039
Fusobacterium,2648384
22,905
22,187327
19,1660
19,1656
7,654
17,732
17,739
11,239935
3,328814
4,105841
19,1382
9,1396
14,47678
14,821
14,817
0,290053
0,329854
14,28116
0,376805
14,818
14,820
14,371601
16,1680
16,1683
4,28025
16,1681
16,1685
16,28026
16,1689
16,216816
4,1322
30,52584
17,199
228,76517
4,197
6,545
14,1639133
1,208479
5,1492
4,89153
5,1502
4,1547
4,84030
4,29347
16,74426
7,285
18,84163
10,876
10,901
10,881
18,84112
18,502558
12,548
12,61645
12,69218
12,550
6,158836
148,1351
6,1352
24,208962
24,562
4,39483
2,39485
4,39488
1,1736
4,853
17,143361
37,1260
1,849
1,850
5,851
1,861
1,856
13,1379
13,29391
13,84135
17,726
17,727
17,729
17,249188
6,213
39,35818
9,210
12,571
6,244366
4,1579
2,83683
182,1582
4,1584
4,1613
4,33959
4,1598
4,1623
153,1599
4,1624
147,1363
4,1358
49,47671
22,907
60,2173
60,2317
89,2051
11,495
6,485
17,488
17,28449
3,28118
18,133926
1,351091
21,553
14,823
3,454155
16,78258
153,1255
37,54005
3,28123
3,52227
3,28129
3,28132
14,287
14,930166
6,294
1,300
7,303
7,316
3,47877
2,301301
2,166486
19,2047
19,43675
1,1161942
24,54736
6,28901
22,69823
6,1280
2,1311
13,1328
13,113107
13,45634
13,1334
13,1335
13,1302
4,102684
13,28037
13,1309
13,1303
13,1318
6,1348
13,1313
13,257758
6,1314
13,1304
13,1305
4,1308
13,1343
0,28112
29,167
2,2039
5,154288
17,39777
17,39778
17,29466
272,364317
12,137591
5,89152
4,33038
AcetateProductionexport,905
ButyrateProductionexport,905
cis-Aconitatetrans-Aconitatetrans-AconiticacidConsumptionimport,905
CitrateConsumptionimport,905
CO2Productionexport,905
H2HydrogenProductionexport,905
H2SHS-Productionexport,905
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,905
NH3AmmoniaNH4AmmoniumProductionexport,905
PropanoatePropionateProductionexport,905
AcetateProductionexport,1656
HemicelluloseMacromoleculedegradation,1656
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1656
PectinMacromoleculedegradation,1656
MucinMucusGlycoproteinMacromoleculedegradation,239935
NitrateConsumptionimport,179636
H2HydrogenProductionexport,28117
IndoleProductionexport,28117
Isobutyrate2-MethylpropanoicacidProductionexport,28117
Isovalerate3-MethylbutanoicacidProductionexport,28117
PropanoatePropionateProductionexport,28117
SuccinateProductionexport,28117
D-MannoseMannoseConsumptionimport,328814
IndoleProductionexport,328814
RaffinoseConsumptionimport,328814
SuccinateProductionexport,328814
ButyrateProductionexport,33032
D-GalactoseConsumptionimport,33032
D-GlucoseGlucoseConsumptionimport,33032
D-MannoseMannoseConsumptionimport,33032
L-ArginineArginineConsumptionimport,33032
LactoseConsumptionimport,33032
UreaConsumptionimport,33032
ButyrateProductionexport,33037
D-GlucoseGlucoseConsumptionimport,33037
D-MannoseMannoseConsumptionimport,33037
IndoleProductionexport,33037
L-ArginineArginineConsumptionimport,33037
L-HistidineHistidineConsumptionimport,33037
L-LeucineLeucineConsumptionimport,33037
4-AminobutyrateGABAConsumptionimport,105841
AcetateConsumptionimportproductionexport,105841
ButyrateProductionexport,105841
CO2Productionexport,105841
D-FructoseFructoseConsumptionimport,105841
D-GlucoseGlucoseConsumptionimport,105841
FormateProductionexport,105841
FOSFructooligosaccharideConsumptionimport,105841
H2HydrogenProductionexport,105841
Isobutyrate2-MethylpropanoicacidProductionexport,105841
Isovalerate3-MethylbutanoicacidProductionexport,105841
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,105841
PropanoatePropionateProductionexport,105841
SuccinateProductionexport,105841
ValeratePentanoicacidPentanoateProductionexport,105841
XOSXylooligosaccharideConsumptionimport,105841
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport,169435
AcetateProductionexport,169435
ButyrateProductionexport,169435
CellobioseConsumptionimport,169435
D-FructoseFructoseConsumptionimport,169435
D-GalactoseConsumptionimport,169435
D-GlucoseGlucoseConsumptionimport,169435
D-MannoseMannoseConsumptionimport,169435
D-TuranoseConsumptionimport,169435
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,169435
H2SHS-Productionexport,169435
IndoleProductionexport,169435
InosineConsumptionimport,169435
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,169435
L-SerineSerineD-SerineConsumptionimport,169435
L-ValineValineD-ValineConsumptionimport,169435
MaltoseConsumptionimport,169435
N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport,169435
N-Acetyl-D-mannosamineConsumptionimport,169435
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,169435
PyruvateConsumptionimport,169435
ThymidineConsumptionimport,169435
TrehaloseConsumptionimport,169435
UridineConsumptionimport,169435
CO2Productionexport,354
D-GlucoseGlucoseConsumptionimport,354
EthanolProductionexport,354
N2Consumptionimport,354
NH3AmmoniaNH4AmmoniumProductionexport,354
CO2Productionexport,1396
H2HydrogenProductionexport,1396
MenaquinoneVitaminK2Productionexport,1396
N2Productionexport,1396
NitrateConsumptionimport,1396
AcetateProductionexport,47678
ButyrateProductionexport,47678
CO2Consumptionimportproductionexport,47678
D-FructoseFructoseConsumptionimport,47678
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,47678
FormateProductionexport,47678
H2HydrogenProductionexport,47678
MucinMucusGlycoproteinMacromoleculedegradation,47678
NH3AmmoniaNH4AmmoniumConsumptionimport,47678
PectinMacromoleculedegradation,47678
PropanoatePropionateProductionexport,47678
SuccinateProductionexport,47678
AcetateProductionexport,28111
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,28111
ButyrateProductionexport,28111
CO2Consumptionimportproductionexport,28111
D-FructoseFructoseConsumptionimport,28111
D-GalactoseConsumptionimport,28111
D-GalacturonateConsumptionimport,28111
D-GlucosamineGlucosamineConsumptionimport,28111
D-GlucuronicacidD-GlucuronateConsumptionimport,28111
H2HydrogenProductionexport,28111
HemicelluloseMacromoleculedegradation,28111
NH3AmmoniaNH4AmmoniumConsumptionimport,28111
PropanoatePropionateProductionexport,28111
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,28111
SuccinateProductionexport,28111
AcetateProductionexport,817
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,817
BicarbonateHCO3-H2CO3CarbonicacidCarbonateConsumptionimport,817
ButyrateProductionexport,817
ChenodeoxycholicacidChenodeoxycholateConsumptionimportproductionexport,817
CholicacidCholateConsumptionimportproductionexport,817
CO2Consumptionimportproductionexport,817
D-FructoseFructoseConsumptionimport,817
D-GalacturonateConsumptionimport,817
D-GlucosamineGlucosamineConsumptionimport,817
D-GlucoseGlucoseConsumptionimport,817
D-GlucuronicacidD-GlucuronateConsumptionimport,817
DeoxycholicacidProductionexport,817
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,817
DimethylamineProductionexport,817
FOSFructooligosaccharideConsumptionimport,817
GlycochenodeoxycholateConsumptionimport,817
GlycocholateConsumptionimport,817
GlycodeoxycholateConsumptionimport,817
H2HydrogenProductionexport,817
HemicelluloseMacromoleculedegradation,817
L-CysteineCysteineD-CysteineConsumptionimport,817
L-FucoseConsumptionimport,817
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,817
L-MethionineD-MethionineConsumptionimport,817
LithocholicacidProductionexport,817
MenaquinoneVitaminK2Productionexport,817
MucinMucusGlycoproteinMacromoleculedegradation,817
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,817
PectinMacromoleculedegradation,817
PolypeptideMacromoleculedegradation,817
PropanoatePropionateProductionexport,817
PutrescineProductionexport,817
RaffinoseConsumptionimport,817
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,817
SuccinateProductionexport,817
TaurochenodeoxycholateConsumptionimport,817
TaurocholateConsumptionimport,817
TaurodeoxycholateConsumptionimport,817
ValeratePentanoicacidPentanoateProductionexport,817
XOSXylooligosaccharideConsumptionimport,817
AcetateProductionexport,290053
ButyrateProductionexport,290053
CO2Consumptionimportproductionexport,290053
D-FructoseFructoseConsumptionimport,290053
H2HydrogenProductionexport,290053
NH3AmmoniaNH4AmmoniumConsumptionimport,290053
PropanoatePropionateProductionexport,290053
SuccinateProductionexport,290053
AcetateProductionexport,329854
ButyrateProductionexport,329854
ChenodeoxycholicacidChenodeoxycholateConsumptionimport,329854
CholicacidCholateConsumptionimport,329854
CO2Consumptionimportproductionexport,329854
D-FructoseFructoseConsumptionimport,329854
H2HydrogenProductionexport,329854
HemicelluloseMacromoleculedegradation,329854
NH3AmmoniaNH4AmmoniumConsumptionimport,329854
PropanoatePropionateProductionexport,329854
SuccinateProductionexport,329854
AcetateProductionexport,28116
AlginateMacromoleculedegradation,28116
ArabinogalactanMacromoleculedegradation,28116
ButylamineProductionexport,28116
ButyrateProductionexport,28116
