parent,child
GlycochenodeoxycholateConsumptionimport,1681
GlycocholateConsumptionimport,1681
GlycodeoxycholateConsumptionimport,1681
GlycolithocholateConsumptionimport,1681
HemicelluloseMacromoleculedegradation,1681
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1681
LactoseConsumptionimport,1681
LithocholicacidProductionexport,1681
MenaquinoneVitaminK2Consumptionimport,1681
MethylamineMonomethylamineProductionexport,1681
MucinMucusGlycoproteinMacromoleculedegradation,1681
PectinMacromoleculedegradation,1681
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Productionexport,1681
RaffinoseConsumptionimport,1681
RiboflavinVitaminB2Consumptionimport,1681
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1681
SuccinateProductionexport,1681
TaurochenodeoxycholateConsumptionimport,1681
TaurocholateConsumptionimport,1681
TaurodeoxycholateConsumptionimport,1681
TaurolithocholateConsumptionimport,1681
ThiamineVitaminB1ThiaminProductionexport,1681
UreaConsumptionimport,1681
AcetateProductionexport,1685
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIProductionexport,1685
CellobioseConsumptionimport,1685
CellotetraoseCellohexaoseCellopentaoseCellotrioseConsumptionimport,1685
ChenodeoxycholicacidChenodeoxycholateProductionexport,1685
CholicacidCholateProductionexport,1685
D-FructoseFructoseConsumptionimport,1685
D-GalactosamineGalactosamineConsumptionimport,1685
D-GalactoseConsumptionimport,1685
D-GlucosamineGlucosamineConsumptionimport,1685
D-GlucoseGlucoseConsumptionimport,1685
D-PsicoseConsumptionimport,1685
D-RiboseRiboseConsumptionimport,1685
DeoxycholicacidProductionexport,1685
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,1685
EthanolProductionexport,1685
FolicacidFolateVitaminB9Productionexport,1685
FormateProductionexport,1685
FOSFructooligosaccharideConsumptionimport,1685
GalactanMacromoleculedegradation,1685
GlycochenodeoxycholateConsumptionimport,1685
GlycocholateConsumptionimport,1685
GlycodeoxycholateConsumptionimport,1685
GlycolithocholateConsumptionimport,1685
IsomaltoseConsumptionimport,1685
L-FucoseConsumptionimport,1685
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1685
LactoseConsumptionimport,1685
LinoleicacidOmega-6fattyacidProductionexport,1685
LithocholicacidProductionexport,1685
MucinMucusGlycoproteinMacromoleculedegradation,1685
PectinMacromoleculedegradation,1685
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Productionexport,1685
RaffinoseConsumptionimport,1685
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1685
SuccinateProductionexport,1685
SucroseConsumptionimport,1685
TaurochenodeoxycholateConsumptionimport,1685
TaurocholateConsumptionimport,1685
TaurodeoxycholateConsumptionimport,1685
TaurolithocholateConsumptionimport,1685
ThiamineVitaminB1ThiaminProductionexport,1685
TrehaloseConsumptionimport,1685
UreaConsumptionimport,1685
XOSXylooligosaccharideConsumptionimport,1685
AcetateProductionexport,28026
D-FructoseFructoseConsumptionimport,28026
D-GalactoseConsumptionimport,28026
D-GlucosamineGlucosamineConsumptionimport,28026
D-PsicoseConsumptionimport,28026
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,28026
EthanolProductionexport,28026
FolicacidFolateVitaminB9Productionexport,28026
FormateProductionexport,28026
FOSFructooligosaccharideConsumptionimport,28026
HemicelluloseMacromoleculedegradation,28026
L-FucoseConsumptionimport,28026
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,28026
LactoseConsumptionimport,28026
LinoleicacidOmega-6fattyacidProductionexport,28026
RaffinoseConsumptionimport,28026
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,28026
SuccinateProductionexport,28026
UreaConsumptionimport,28026
4-AminobutyrateGABAProductionexport,1689
AcetateProductionexport,1689
D-FructoseFructoseConsumptionimport,1689
D-GalactosamineGalactosamineConsumptionimport,1689
D-GalactoseConsumptionimport,1689
D-GlucosamineGlucosamineConsumptionimport,1689
D-PsicoseConsumptionimport,1689
EthanolProductionexport,1689
FolicacidFolateVitaminB9Productionexport,1689
FormateProductionexport,1689
HemicelluloseMacromoleculedegradation,1689
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1689
LactoseConsumptionimport,1689
MenaquinoneVitaminK2Consumptionimport,1689
RaffinoseConsumptionimport,1689
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1689
SuccinateProductionexport,1689
UreaConsumptionimport,1689
AcetateProductionexport,35833
ButanolConsumptionimport,35833
DeoxycholicacidProductionexport,35833
EthanolConsumptionimport,35833
FormateConsumptionimport,35833
GlycerolConsumptionimport,35833
H2HydrogenConsumptionimport,35833
H2SHS-Productionexport,35833
IsethionateConsumptionimport,35833
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,35833
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,35833
NH3AmmoniaNH4AmmoniumProductionexport,35833
NitrateConsumptionimport,35833
Propanoln-propanol1-PropanolConsumptionimport,35833
PyruvateConsumptionimport,35833
SuccinateConsumptionimport,35833
SulfateSulfuricacidConsumptionimport,35833
TaurineConsumptionimport,35833
TaurochenodeoxycholateConsumptionimport,35833
TaurocholateConsumptionimport,35833
TaurodeoxycholateConsumptionimport,35833
TaurolithocholateConsumptionimport,35833
ThiosulfateConsumptionimport,35833
D-GlucoseGlucoseConsumptionimport,1322
H2HydrogenConsumptionimport,1322
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1322
LactoseConsumptionimport,1322
RaffinoseConsumptionimport,1322
AcetateConsumptionimportproductionexport,45851
ButyrateProductionexport,45851
CO2Productionexport,45851
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,45851
FormateProductionexport,45851
H2HydrogenProductionexport,45851
HemicelluloseMacromoleculedegradation,45851
Isobutyrate2-MethylpropanoicacidConsumptionimport,45851
Isovalerate3-MethylbutanoicacidConsumptionimport,45851
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,45851
LactoseConsumptionimport,45851
MaltoseConsumptionimport,45851
PropanoatePropionateConsumptionimport,45851
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,45851
ValeratePentanoicacidPentanoateConsumptionimport,45851
FormateConsumptionimport,824
H2HydrogenConsumptionimport,824
CadaverineProductionexport,197
PutrescineProductionexport,197
SpermidineConsumptionimportproductionexport,197
SpermineProductionexport,197
13-PropanediolProductionexport,545
AcetateProductionexport,545
GlycerolConsumptionimport,545
13-PropanediolProductionexport,67825
AcetateProductionexport,67825
GlycerolConsumptionimport,67825
13-PropanediolProductionexport,133448
AcetateProductionexport,133448
GlycerolConsumptionimport,133448
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport,1492
4-Aminobenzoatepara-aminoBenzoicacidConsumptionimport,1492
AcetateProductionexport,1492
AcetoneProductionexport,1492
BiotinVitaminB7Consumptionimport,1492
ButyrateProductionexport,1492
CO2Productionexport,1492
D-GlucoseGlucoseConsumptionimport,1492
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,1492
EthanolProductionexport,1492
FOSFructooligosaccharideConsumptionimport,1492
GlycerolConsumptionimport,1492
H2HydrogenProductionexport,1492
MucinMucusGlycoproteinMacromoleculedegradation,1492
N2Consumptionimport,1492
NH3AmmoniaNH4AmmoniumProductionexport,1492
PantothenicacidVitaminB5PantothenateConsumptionimport,1492
PropanalProductionexport,1492
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,1492
UreaConsumptionimport,1492
AcetateProductionexport,1502
AcetoneProductionexport,1502
ButyrateProductionexport,1502
ChenodeoxycholicacidChenodeoxycholateConsumptionimportproductionexport,1502
CholicacidCholateConsumptionimportproductionexport,1502
CO2Productionexport,1502
DeoxycholicacidProductionexport,1502
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,1502
DimethylamineProductionexport,1502
EthanolProductionexport,1502
GlycochenodeoxycholateConsumptionimport,1502
GlycocholateConsumptionimport,1502
GlycodeoxycholateConsumptionimport,1502
GlycolithocholateConsumptionimport,1502
H2HydrogenProductionexport,1502
HistamineProductionexport,1502
HyaluronanHyaluronateHyaluronicacidMacromoleculedegradation,1502
L-ArginineArginineConsumptionimport,1502
L-AspartateAspartateD-AspartateConsumptionimport,1502
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1502
L-OrnithineOrnithineProductionexport,1502
LithocholicacidProductionexport,1502
MethylamineMonomethylamineProductionexport,1502
MucinMucusGlycoproteinMacromoleculedegradation,1502
NH3AmmoniaNH4AmmoniumProductionexport,1502
PantothenicacidVitaminB5PantothenateConsumptionimport,1502
PolypeptideMacromoleculedegradation,1502
PropanoatePropionateProductionexport,1502
SuccinateProductionexport,1502
TaurochenodeoxycholateConsumptionimport,1502
TaurocholateConsumptionimport,1502
TaurodeoxycholateConsumptionimport,1502
TaurolithocholateConsumptionimport,1502
UreaConsumptionimport,1502
CellobioseConsumptionimport,147207
D-FructoseFructoseConsumptionimport,147207
D-GalactoseConsumptionimport,147207
D-GlucoseGlucoseConsumptionimport,147207
D-MannoseMannoseConsumptionimport,147207
D-RiboseRiboseConsumptionimport,147207
EthanolProductionexport,147207
FormateProductionexport,147207
H2HydrogenProductionexport,147207
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,147207
CellobioseConsumptionimport,147206
D-GlucoseGlucoseConsumptionimport,147206
EthanolProductionexport,147206
FormateProductionexport,147206
H2HydrogenProductionexport,147206
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,147206
LactoseConsumptionimport,147206
MaltoseConsumptionimport,147206
TrehaloseConsumptionimport,147206
AcetateConsumptionimport,285
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,285
PropanoatePropionateConsumptionimport,285
AcetateConsumptionimportproductionexport,116085
ButyrateProductionexport,116085
D-FructoseFructoseConsumptionimport,116085
D-MannitolMannitolConsumptionimport,116085
H2HydrogenProductionexport,116085
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,116085
PropanoatePropionateProductionexport,116085
AcetateProductionexport,410072
ButyrateProductionexport,410072
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,410072
D-FructoseFructoseConsumptionimport,410072
D-GalactoseConsumptionimport,410072
D-GlucoseGlucoseConsumptionimport,410072
D-XyloseXyloseConsumptionimport,410072
FOSFructooligosaccharideConsumptionimport,410072
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,410072
LactoseConsumptionimport,410072
MaltoseConsumptionimport,410072
PropanoatePropionateProductionexport,410072
RaffinoseConsumptionimport,410072
SucroseConsumptionimport,410072
AcetateConsumptionimportproductionexport,33043
ButyrateProductionexport,33043
CellobioseConsumptionimport,33043
CO2Productionexport,33043
D-FructoseFructoseConsumptionimport,33043
D-GlucoseGlucoseConsumptionimport,33043
D-MannoseMannoseConsumptionimport,33043
EthanolProductionexport,33043
FormateProductionexport,33043
FOSFructooligosaccharideConsumptionimport,33043
H2HydrogenProductionexport,33043
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,33043
LactoseConsumptionimport,33043
MaltoseConsumptionimport,33043
MelibioseConsumptionimport,33043
RaffinoseConsumptionimport,33043
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,33043
SucroseConsumptionimport,33043
AcetateConsumptionimportproductionexport,876
ButyrateConsumptionimport,876
CO2Consumptionimport,876
EthanolConsumptionimport,876
FormateConsumptionimport,876
GlycerolConsumptionimport,876
H2HydrogenConsumptionimport,876
H2SHS-Productionexport,876
IndoleConsumptionimport,876
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,876
PhenolConsumptionimport,876
PropanoatePropionateConsumptionimport,876
PyruvateConsumptionimport,876
SuccinateConsumptionimport,876
SulfateSulfuricacidConsumptionimport,876
AcetateConsumptionimportproductionexport,901
ButyrateConsumptionimport,901
CO2Consumptionimport,901
D-GlucoseGlucoseConsumptionimport,901
EthanolConsumptionimport,901
FormateConsumptionimport,901
GlycerolConsumptionimport,901
H2HydrogenConsumptionimport,901
H2SHS-Productionexport,901
IndoleConsumptionimport,901
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,901
MaltoseConsumptionimport,901
NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport,901
PhenolConsumptionimport,901
PropanoatePropionateConsumptionimport,901
PyruvateConsumptionimport,901
SuccinateConsumptionimport,901
SucroseConsumptionimport,901
SulfateSulfuricacidConsumptionimport,901
UreaConsumptionimport,901
AcetateConsumptionimportproductionexport,881
ButyrateConsumptionimport,881
CO2Consumptionimportproductionexport,881
EthanolConsumptionimport,881
FormateConsumptionimportproductionexport,881
GlycerolConsumptionimport,881
H2HydrogenConsumptionimportproductionexport,881
H2SHS-Productionexport,881
IndoleConsumptionimport,881
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,881
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,881
NH3AmmoniaNH4AmmoniumConsumptionimport,881
PhenolConsumptionimport,881
PropanoatePropionateConsumptionimport,881
PyruvateConsumptionimport,881
SuccinateConsumptionimport,881
SulfateSulfuricacidConsumptionimport,881
AcetateProductionexport,218538
PropanoatePropionateProductionexport,218538
AcetateProductionexport,39486
CO2Productionexport,39486
D-FructoseFructoseConsumptionimport,39486
D-GalactoseConsumptionimport,39486
D-GlucoseGlucoseConsumptionimport,39486
EthanolProductionexport,39486
FormateProductionexport,39486
H2HydrogenProductionexport,39486
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,39486
LactoseConsumptionimport,39486
MaltoseConsumptionimport,39486
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,39486
PyruvateConsumptionimport,39486
AcetateProductionexport,88431
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,88431
D-FructoseFructoseConsumptionimport,88431
D-GalactoseConsumptionimport,88431
D-GlucosamineGlucosamineConsumptionimport,88431
D-GlucoseGlucoseConsumptionimport,88431
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,88431
D-XyloseXyloseConsumptionimport,88431
EthanolProductionexport,88431
FormateProductionexport,88431
FOSFructooligosaccharideConsumptionimport,88431
Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport,88431
LactoseConsumptionimport,88431
MaltoseConsumptionimport,88431
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,88431
SucroseConsumptionimport,88431
MenaquinoneVitaminK2Productionexport,84112
RR-23-ButanediolRR-ButanediolSS-23-ButanediolSS-ButanediolProductionexport,69218
LactoseConsumptionimport,69218
NH3AmmoniaNH4AmmoniumProductionexport,69218
RR-23-ButanediolRR-ButanediolSS-23-ButanediolSS-ButanediolProductionexport,550
CadaverineProductionexport,550
LactoseConsumptionimport,550
NH3AmmoniaNH4AmmoniumProductionexport,550
PutrescineProductionexport,550
AcetateProductionexport,37734
D-TagatoseConsumptionimport,37734
H2HydrogenProductionexport,37734
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,37734
LactoseConsumptionimport,37734
AcetateProductionexport,1353
CelluloseBeta-D-glucanMacromoleculedegradation,1353
D-TagatoseConsumptionimport,1353
H2HydrogenProductionexport,1353
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1353
LactoseConsumptionimport,1353
AcetateProductionexport,208962
CO2Productionexport,208962
EthanolProductionexport,208962
FormateProductionexport,208962
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,208962
SuccinateProductionexport,208962
4-AminobutyrateGABAProductionexport,562
AcetateProductionexport,562
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimportproductionexport,562
BetaineGlycinebetaineConsumptionimport,562
BiotinVitaminB7Productionexport,562
CadaverineProductionexport,562
ChenodeoxycholicacidChenodeoxycholateConsumptionimport,562
CholicacidCholateConsumptionimport,562
CO2Productionexport,562
D-FructuronateConsumptionimport,562
D-GalactoseConsumptionimport,562
D-GalacturonateConsumptionimport,562
D-GluconateD-GluconicacidGluconateConsumptionimport,562
D-GlucoseGlucoseConsumptionimport,562
D-GlucuronicacidD-GlucuronateConsumptionimport,562
D-RiboseRiboseConsumptionimport,562
D-TagaturonateConsumptionimport,562
DimethylamineProductionexport,562
EthanolProductionexport,562
FolicacidFolateVitaminB9Productionexport,562
FormaldehydeProductionexport,562
FormateProductionexport,562
H2HydrogenProductionexport,562
IndoleProductionexport,562
Indole-3-acetateIndoleacetateConsumptionimportproductionexport,562
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,562
L-GlutamineD-GlutamineGlutamineConsumptionimport,562
L-HistidineHistidineConsumptionimport,562
L-IdonateConsumptionimport,562
L-IsoleucineIsoleucineConsumptionimport,562
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,562
L-LeucineLeucineConsumptionimport,562
L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport,562
L-ThreonineThreonineProductionexport,562
L-ValineValineD-ValineConsumptionimport,562
LactoseConsumptionimport,562
MaltoseConsumptionimport,562
MenaquinoneVitaminK2Productionexport,562
MethanolProductionexport,562
NH3AmmoniaNH4AmmoniumProductionexport,562
NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimportproductionexport,562
NitrateConsumptionimport,562
PentanolProductionexport,562
PutrescineProductionexport,562
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,562
RiboflavinVitaminB2Productionexport,562
SuccinateConsumptionimportproductionexport,562
SulfateSulfuricacidConsumptionimport,562
ThiamineVitaminB1ThiaminConsumptionimportproductionexport,562
ThiosulfateConsumptionimport,562
TrimethylamineProductionexport,562
AcetateConsumptionimportproductionexport,1736
ButyrateProductionexport,1736
CO2Productionexport,1736
D-GlucoseGlucoseConsumptionimport,1736
EthanolConsumptionimport,1736
FormateProductionexport,1736
H2HydrogenConsumptionimportproductionexport,1736
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport,1736
MethanolConsumptionimport,1736
AcetateConsumptionimport,39496
ButyrateProductionexport,39496
CO2Productionexport,39496
FormateProductionexport,39496
H2HydrogenProductionexport,39496
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,39496
AcetateConsumptionimportproductionexport,853
ButyrateProductionexport,853
CO2Productionexport,853
D-FructoseFructoseConsumptionimport,853
D-GlucoseGlucoseConsumptionimport,853
DimethylamineProductionexport,853
FormateProductionexport,853
FOSFructooligosaccharideConsumptionimport,853
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,853
MethylamineMonomethylamineProductionexport,853
N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport,853
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,853
NH3AmmoniaNH4AmmoniumProductionexport,853
PectinMacromoleculedegradation,853
PropanoatePropionateProductionexport,853
RiboflavinVitaminB2Consumptionimport,853
TrimethylamineProductionexport,853
TrimethylamineN-oxideTrimethylamine-N-oxideProductionexport,853
AcetateProductionexport,1260
L-ArginineArginineConsumptionimport,1260
L-HistidineHistidineConsumptionimport,1260
L-LeucineLeucineConsumptionimport,1260
ButyrateProductionexport,849
ButyrateProductionexport,850
SucroseConsumptionimport,850
AcetateConsumptionimportproductionexport,851
ButyrateProductionexport,851
D-GlucoseGlucoseConsumptionimport,851
L-AspartateAspartateD-AspartateConsumptionimport,851
L-CysteineCysteineD-CysteineConsumptionimport,851
L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport,851
L-GlutamineD-GlutamineGlutamineConsumptionimport,851
L-HistidineHistidineConsumptionimport,851
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,851
L-LysineLysineD-LysineConsumptionimport,851
L-MethionineD-MethionineConsumptionimport,851
L-SerineSerineD-SerineConsumptionimport,851
L-ThreonineThreonineConsumptionimport,851
N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport,851
NH3AmmoniaNH4AmmoniumProductionexport,851
ButyrateProductionexport,860
ButyrateProductionexport,861
ButyrateProductionexport,856
D-GlucoseGlucoseConsumptionimport,727
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,727
D-GlucoseGlucoseConsumptionimport,729
L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport,729
MenaquinoneVitaminK2Consumptionimport,729
CO2Productionexport,210
MucinMucusGlycoproteinMacromoleculedegradation,210
NH3AmmoniaNH4AmmoniumProductionexport,210
UreaConsumptionimport,210
AcetateProductionexport,61171
CellobioseConsumptionimport,61171
D-ArabinoseL-ArabinoseArabinoseL-ArabinopyranoseL-ArabinofuranoseConsumptionimport,61171
D-FructoseFructoseConsumptionimport,61171
D-GlucoseGlucoseConsumptionimport,61171
D-MannitolMannitolConsumptionimport,61171
D-MannoseMannoseConsumptionimport,61171
D-RiboseRiboseConsumptionimport,61171
D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport,61171
D-XyloseXyloseConsumptionimport,61171
ErythritolConsumptionimport,61171
Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport,61171
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,61171
L-RhamnoseRhamnoseD-RhamnoseConsumptionimport,61171
MelibioseConsumptionimport,61171
RaffinoseConsumptionimport,61171
StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation,61171
SuccinateProductionexport,61171
SucroseConsumptionimport,61171
TrehaloseConsumptionimport,61171
RR-23-ButanediolRR-ButanediolSS-23-ButanediolSS-ButanediolProductionexport,244366
CO2Productionexport,244366
NH3AmmoniaNH4AmmoniumProductionexport,244366
UreaConsumptionimport,244366
AcetateProductionexport,1579
BiotinVitaminB7Consumptionimport,1579
ChenodeoxycholicacidChenodeoxycholateProductionexport,1579
CholicacidCholateProductionexport,1579
CO2Productionexport,1579
D-FructoseFructoseConsumptionimport,1579
D-GlucoseGlucoseConsumptionimport,1579
D-MannitolMannitolConsumptionimport,1579
D-MannoseMannoseConsumptionimport,1579
DeoxycholicacidProductionexport,1579
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,1579
EthanolProductionexport,1579
FolicacidFolateVitaminB9Productionexport,1579
FOSFructooligosaccharideConsumptionimport,1579
GlycerolConsumptionimport,1579
GlycochenodeoxycholateConsumptionimport,1579
GlycocholateConsumptionimport,1579
GlycodeoxycholateConsumptionimport,1579
GlycolithocholateConsumptionimport,1579
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1579
LithocholicacidProductionexport,1579
PantothenicacidVitaminB5PantothenateConsumptionimport,1579
PutrescineProductionexport,1579
RaffinoseConsumptionimport,1579
RiboflavinVitaminB2Consumptionimport,1579
TaurochenodeoxycholateConsumptionimport,1579
TaurocholateConsumptionimport,1579
TaurodeoxycholateConsumptionimport,1579
TaurolithocholateConsumptionimport,1579
TryptamineProductionexport,1579
XOSXylooligosaccharideConsumptionimport,1579
AcetateProductionexport,83683
CO2Productionexport,83683
D-FructoseFructoseConsumptionimport,83683
EthanolProductionexport,83683
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,83683
PantothenicacidVitaminB5PantothenateConsumptionimport,83683
AcetateProductionexport,1604
CO2Productionexport,1604
D-FructoseFructoseConsumptionimport,1604
D-GlucoseGlucoseConsumptionimport,1604
EthanolProductionexport,1604
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1604
PantothenicacidVitaminB5PantothenateConsumptionimport,1604
AcetateProductionexport,47770
CO2Productionexport,47770
D-FructoseFructoseConsumptionimport,47770
EthanolProductionexport,47770
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,47770
PantothenicacidVitaminB5PantothenateConsumptionimport,47770
AcetateProductionexport,1584
AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimport,1584
CO2Productionexport,1584
D-FructoseFructoseConsumptionimport,1584
D-MannitolMannitolConsumptionimport,1584
EthanolProductionexport,1584
GlycerolConsumptionimport,1584
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1584
LactoseConsumptionimport,1584
PantothenicacidVitaminB5PantothenateConsumptionimport,1584
PolypeptideMacromoleculedegradation,1584
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport,1584
RiboflavinVitaminB2Consumptionimport,1584
AcetateProductionexport,1596
ChenodeoxycholicacidChenodeoxycholateProductionexport,1596
CholicacidCholateProductionexport,1596
CO2Productionexport,1596
D-FructoseFructoseConsumptionimport,1596
D-GlucoseGlucoseConsumptionimport,1596
D-MannitolMannitolConsumptionimport,1596
DeoxycholicacidProductionexport,1596
EthanolProductionexport,1596
FolicacidFolateVitaminB9Consumptionimport,1596
GlycochenodeoxycholateConsumptionimport,1596
GlycocholateConsumptionimport,1596
GlycodeoxycholateConsumptionimport,1596
GlycolithocholateConsumptionimport,1596
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1596
LactoseConsumptionimport,1596
LithocholicacidProductionexport,1596
MucinMucusGlycoproteinMacromoleculedegradation,1596
PantothenicacidVitaminB5PantothenateConsumptionimport,1596
TaurochenodeoxycholateConsumptionimport,1596
TaurocholateConsumptionimport,1596
TaurodeoxycholateConsumptionimport,1596
TaurolithocholateConsumptionimport,1596
AcetateProductionexport,1587
CO2Productionexport,1587
D-FructoseFructoseConsumptionimport,1587
D-TagatoseConsumptionimport,1587
DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport,1587
EthanolProductionexport,1587
FOSFructooligosaccharideConsumptionimport,1587
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,1587
LactoseConsumptionimport,1587
PantothenicacidVitaminB5PantothenateConsumptionimport,1587
PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Productionexport,1587
RiboflavinVitaminB2Consumptionimport,1587
ThiamineVitaminB1ThiaminProductionexport,1587
AcetateProductionexport,147802
CO2Productionexport,147802
D-FructoseFructoseConsumptionimport,147802
EthanolProductionexport,147802
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,147802
PantothenicacidVitaminB5PantothenateConsumptionimport,147802
AcetateProductionexport,33959
ChenodeoxycholicacidChenodeoxycholateProductionexport,33959
CholicacidCholateProductionexport,33959
CO2Productionexport,33959
D-FructoseFructoseConsumptionimport,33959
D-GlucoseGlucoseConsumptionimport,33959
DeoxycholicacidProductionexport,33959
EthanolProductionexport,33959
GlycochenodeoxycholateConsumptionimport,33959
GlycocholateConsumptionimport,33959
GlycodeoxycholateConsumptionimport,33959
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,33959
LactoseConsumptionimport,33959
PantothenicacidVitaminB5PantothenateConsumptionimport,33959
TaurochenodeoxycholateConsumptionimport,33959
TaurocholateConsumptionimport,33959
TaurodeoxycholateConsumptionimport,33959
AcetateProductionexport,227945
CO2Productionexport,227945
D-FructoseFructoseConsumptionimport,227945
EthanolProductionexport,227945
L-LactateS-LactateLactateD-LactateR-LactateProductionexport,227945
PantothenicacidVitaminB5PantothenateConsumptionimport,227945
